fileName,pdfsize,metadataSize,pages,xrefLength,titleCharacters,isEncrypted,embeddedFiles,images,text,header,obj,endobj,stream,endstream,xref,trailer,startxref,pageno,encrypt,ObjStm,JS,Javascript,AA,OpenAction,Acroform,JBIG2Decode,RichMedia,launch,EmbeddedFile,XFA,URI,Colors,Class
ar-1882.pdf,165,282,5,55,0,0,0,5,Yes,%PDF-1.6,54,54,12,12,2,2,2,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,Benign
checkpointsllc.pdf,78,283,1,30,0,0,0,12,No,%PDF-1.7,29,29,17,17,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Benign
ar-1935.pdf,129,282,4,46,0,0,0,4,Yes,%PDF-1.6,45,45,10,10,2,2,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Benign
interim_guidance_memo_for_offer_in_compromise.pdf,29,297,2,123,1,0,0,5,Yes,%PDF-1.4,45,45,14,14,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,Benign
atlantbd.pdf,85,298,1,13,0,0,0,1,No,%PDF-1.4,12,12,4,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
i2555.pdf,200,330,12,205,21,0,0,0,Yes,%PDF-1.4,204,204,41,41,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Benign
cp504_english.pdf,73,226,4,313,0,0,0,0,Yes,%PDF-1.7,81,81,40,40,2,2,2,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,Benign
f943_accessible.pdf,98,377,2,795,13,0,0,0,Yes,%PDF-1.7,85,85,79,79,0,0,3,2,0,15,0,0,0,0,2,0,0,0,8,0,0,0,Benign
a-09-62.pdf,14,308,2,84,20,0,0,0,Yes,%PDF-1.4,21,21,6,6,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Benign
bnienter.pdf,82,283,1,25,0,0,0,7,No,%PDF-1.7,24,24,12,12,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Benign
p3961.pdf,40,355,1,38,31,0,0,0,Yes,%PDF-1.4,39,39,14,14,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
aimatmel.pdf,75,265,1,21,0,0,0,1,No,%PDF-1.2,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
f433boi.pdf,397,360,6,1518,32,0,0,6,Yes,%PDF-1.6,1539,1539,236,236,7,7,7,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Benign
f3468_accessible.pdf,111,333,3,979,15,0,0,0,Yes,%PDF-1.7,60,60,53,53,0,0,3,3,0,17,0,0,0,0,2,0,0,0,8,0,0,0,Benign
rp-10-23.pdf,17,284,7,159,8,0,0,0,Yes,%PDF-1.5,29,29,20,20,0,0,2,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,Benign
confre.pdf,28,260,1,12,0,0,0,1,No,%PDF-1.2,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
n-12-32.pdf,25,351,5,96,63,0,0,0,Yes,%PDF-1.4,49,49,10,10,2,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,Benign
altly_inc.pdf,102,424,1,95,10,0,0,1,Yes,%PDF-1.7,94,94,17,17,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,Benign
f1099div_11.pdf,70,344,6,622,18,0,0,0,Yes,%PDF-1.7,86,86,68,68,0,0,2,0,0,18,0,0,0,0,1,0,0,0,0,0,4,0,Benign
rp-07-34.pdf,41,319,18,74,29,0,0,0,Yes,%PDF-1.4,73,73,21,21,2,2,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
n-07-50.pdf,24,318,12,52,28,0,0,0,Yes,%PDF-1.4,51,51,14,14,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
66fr60223.pdf,44,299,3,32,8,0,0,0,Yes,%PDF-1.3,31,31,7,7,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
n-04-26.pdf,35,319,2,22,28,0,0,0,Yes,%PDF-1.3,21,21,6,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
cathclve.pdf,23,298,1,13,0,0,0,1,No,%PDF-1.4,12,12,4,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
f8840.pdf,129,363,4,807,14,0,0,0,Yes,%PDF-1.7,233,233,101,101,4,4,3,4,0,6,0,0,0,0,2,0,0,0,0,0,0,0,Benign
rr-04-107.pdf,11,316,3,23,30,0,0,0,Yes,%PDF-1.4,22,22,5,5,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
booenter.pdf,78,283,1,29,0,0,0,11,No,%PDF-1.7,28,28,16,16,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Benign
irb2001-5.012901..pdf,375,255,60,226,0,0,0,2,Yes,%PDF-1.3,210,210,62,62,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
banflixc.pdf,78,272,1,21,0,0,0,1,No,%PDF-1.2,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
63fr7288.pdf,17,311,2,37,8,0,0,0,Yes,%PDF-1.2,36,36,11,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
aribin.pdf,83,272,1,21,0,0,0,1,No,%PDF-1.2,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
rr-06-04.pdf,19,310,4,183,6,0,0,0,Yes,%PDF-1.4,24,24,9,9,2,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Benign
077sigall_riaa.pdf,16,459,5,32,68,0,0,0,Yes,%PDF-1.4,31,31,7,7,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
fss8pr.pdf,170,461,6,1428,33,0,0,0,Yes,%PDF-1.7,264,264,253,253,0,0,4,7,0,25,0,0,0,0,2,0,0,0,0,0,0,0,Benign
f1139.pdf,108,386,1,352,28,0,0,1,Yes,%PDF-1.6,355,355,169,169,3,3,3,1,0,0,2,3,1,0,2,0,0,0,0,0,0,0,Benign
f8857sp_accessible.pdf,191,438,4,1626,34,0,0,0,Yes,%PDF-1.7,284,284,276,276,0,0,3,4,0,22,0,0,0,0,2,0,0,0,10,0,0,0,Benign
n-02-28.pdf,49,348,1,81,58,0,0,0,Yes,%PDF-1.3,80,80,13,13,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Benign
n-07-90.pdf,21,329,8,38,39,0,0,0,Yes,%PDF-1.4,37,37,11,11,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
rp-08-26.pdf,16,309,4,98,21,0,0,0,Yes,%PDF-1.4,36,36,8,8,2,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Benign
f6118.pdf,269,407,2,183,28,0,0,0,Yes,%PDF-1.6,189,189,21,21,4,4,4,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,Benign
06cofigbs.pdf,17,306,1,26,13,0,0,0,Yes,%PDF-1.4,25,25,11,11,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
rr-03-64.pdf,39,320,3,25,29,0,0,0,Yes,%PDF-1.3,24,24,7,7,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
f1120fh.pdf,111,416,2,1002,29,0,0,0,Yes,%PDF-1.7,119,119,110,110,0,0,5,4,0,21,0,0,0,0,2,0,0,0,0,0,0,0,Benign
f1120idp_accessible.pdf,65,392,2,432,45,0,0,0,Yes,%PDF-1.6,53,53,49,49,0,0,2,2,0,10,0,0,0,0,1,0,0,0,0,0,0,0,Benign
cefmedem.pdf,80,262,1,21,0,0,0,1,No,%PDF-1.2,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
f8811.pdf,68,452,2,283,26,0,0,0,Yes,%PDF-1.7,53,53,46,46,0,0,4,3,0,12,0,0,0,0,2,0,0,0,0,0,0,0,Benign
td_9237.pdf,42,278,22,81,11,0,0,0,Yes,%PDF-1.2,80,80,22,22,1,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign
afewgoop.pdf,91,283,1,27,0,0,0,9,No,%PDF-1.7,26,26,14,14,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Benign
Chris_Baker.pdf,28,238,1,14,0,0,0,0,Yes,%PDF-1.4,13,13,3,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Benign
brachll.pdf,82,283,1,27,0,0,0,9,No,%PDF-1.7,26,26,14,14,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Benign
f1099p11_accessible.pdf,66,365,6,227,19,0,0,0,Yes,%PDF-1.4,102,102,36,36,2,2,2,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,Benign
f8621.pdf,164,426,3,1239,30,0,0,0,Yes,%PDF-1.7,379,379,74,74,4,4,3,4,0,8,0,0,0,0,2,0,0,0,0,0,0,0,Benign
f8816_accessible.pdf,359,420,2,832,24,0,0,0,Yes,%PDF-1.7,592,592,135,135,0,0,8,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,Benign
